Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
185,Regard,Ride It.,2021-09-11,173,86,51,https://charts-static.billboard.com/img/2019/08/dj-regard-rjm-180x180.jpg
186,Eagles,Hotel California,2021-09-11,164,148,46,https://charts-static.billboard.com/img/1972/06/eagles-ma9-180x180.jpg
187,Roddy Ricch,Late At Night,2021-09-11,148,27,13,https://charts-static.billboard.com/img/2021/06/roddy-ricch-zyg-lateatnight-nwt-180x180.jpg
188,Kali Uchis,Telepatia,2021-09-11,162,10,28,https://charts-static.billboard.com/img/2015/07/kali-uchis-dp2-180x180.jpg
189,Cardi B Featuring Megan Thee Stallion,WAP,2021-09-11,174,1,52,https://charts-static.billboard.com/img/2020/08/cardi-b-7bz-wap-8b4-180x180.jpg
190,Normani Featuring Cardi B,Wild Side,2021-09-11,133,27,7,https://charts-static.billboard.com/img/2021/07/normani-kordei-nwb-wild-side-kl8-180x180.jpg
191,James Arthur,Say You Won't Let Go,2021-09-11,177,96,48,https://charts-static.billboard.com/img/2016/11/james-arthur-p5t-106x106.jpg
192,AC/DC,Thunderstruck,2021-09-11,182,167,24,https://charts-static.billboard.com/img/2012/12/ac-dc-3eb-180x180.jpg
193,The Killers,Mr. Brightside,2021-09-11,171,158,16,https://charts-static.billboard.com/img/2004/12/the-killers-7vb-mrbrightside-7k3-180x180.jpg
194,Adele,Rolling In The Deep,2021-09-11,-,194,1,https://charts-static.billboard.com/img/2010/12/adele-000-rolling-in-the-deep-2hu-180x180.jpg
195,Coldplay,Yellow,2021-09-11,183,134,25,https://charts-static.billboard.com/img/2005/06/coldplay-bm3-yellow-ty6-180x180.jpg
196,The Chainsmokers & Coldplay,Something Just Like This,2021-09-11,181,133,39,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
197,Ed Sheeran & Justin Bieber,I Don't Care,2021-09-11,172,105,48,https://charts-static.billboard.com/img/2019/05/ed-sheeran-w3r-i-dont-care-34w-180x180.jpg
198,Capella Grey,Gyalis,2021-09-11,-,198,1,https://charts-static.billboard.com/img/2021/09/capella-grey-000-gyalis-029-180x180.jpg
199,Avicii,Wake Me Up!,2021-09-11,188,179,15,https://charts-static.billboard.com/img/2010/07/avicii-uw1-180x180.jpg
200,BIA Featuring Nicki Minaj,Whole Lotta Money,2021-09-11,161,32,8,https://charts-static.billboard.com/img/2021/06/bia-1yq-wholelottamoney-izt-180x180.jpg
1,The Kid LAROI & Justin Bieber,Stay,2021-09-04,1,1,7,https://charts-static.billboard.com/img/2021/07/the-kid-laroi-qev-stay-vsd-180x180.jpg
2,Ed Sheeran,Bad Habits,2021-09-04,2,1,9,https://charts-static.billboard.com/img/2021/07/ed-sheeran-w3r-bad-habits-i7l-180x180.jpg
3,Lil Nas X & Jack Harlow,Industry Baby,2021-09-04,3,3,5,https://charts-static.billboard.com/img/2021/08/lil-nas-x-qv4-industry-baby-bw6-180x180.jpg
4,Maneskin,Beggin',2021-09-04,4,3,12,https://charts-static.billboard.com/img/2017/12/maneskin-ews-180x180.jpg
5,Olivia Rodrigo,Good 4 U,2021-09-04,5,1,15,https://charts-static.billboard.com/img/2021/05/olivia-rodrigo-3wl-good-4-u-ysx-180x180.jpg
6,Doja Cat,Need To Know,2021-09-04,10,6,11,https://charts-static.billboard.com/img/2021/06/doja-cat-lm6-need-to-know-9r2-180x180.jpg
7,Farruko,Pepas,2021-09-04,8,7,6,https://charts-static.billboard.com/img/2021/07/farruko-lo8-pepas-ymw-180x180.jpg
8,Dua Lipa,Levitating,2021-09-04,9,2,47,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-levitating-tr9-180x180.jpg
9,Billie Eilish,Happier Than Ever,2021-09-04,6,6,4,https://charts-static.billboard.com/img/2021/08/billie-eilish-lrt-happier-than-ever-xd9-180x180.jpg
10,The Weeknd & Ariana Grande,Save Your Tears,2021-09-04,7,1,34,https://charts-static.billboard.com/img/2020/12/the-weeknd-xmx-save-your-tears-e5b-180x180.jpg
11,Doja Cat Featuring SZA,Kiss Me More,2021-09-04,11,3,20,https://charts-static.billboard.com/img/2021/04/doja-cat-lm6-kiss-me-more-3fc-180x180.jpg
12,Lil Nas X,Montero (Call Me By Your Name),2021-09-04,14,1,22,https://charts-static.billboard.com/img/2021/04/lil-nas-x-qv4-montero-call-me-by-your-name-2lw-180x180.jpg
13,Doja Cat,Woman,2021-09-04,20,13,6,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
14,BTS,Butter,2021-09-04,15,1,14,https://charts-static.billboard.com/img/2021/06/bts-hm9-butter-45t-180x180.jpg
15,The Weeknd,Take My Breath,2021-09-04,13,5,3,https://charts-static.billboard.com/img/2021/08/the-weeknd-xmx-take-my-breath-o1i-180x180.jpg
16,BTS,Permission To Dance,2021-09-04,16,1,7,https://charts-static.billboard.com/img/2021/07/bts-hm9-permission-to-dance-17f-180x180.jpg
17,Rauw Alejandro,Todo de Ti,2021-09-04,18,3,14,https://charts-static.billboard.com/img/2021/06/rauwalejandro-37g-tododeti-5i7-180x180.jpg
