Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
23,Daddy Yankee & Bad Bunny,X Ultima Vez,2022-04-09,-,23,1,https://charts-static.billboard.com/img/2002/07/daddy-yankee-73c-180x180.jpg
24,Doja Cat,Woman,2022-04-09,23,11,37,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
25,Lil Nas X,Thats What I Want,2022-04-09,27,4,28,https://charts-static.billboard.com/img/2019/01/lil-nas-x-qv4-180x180.jpg
26,Elley Duhe,Middle Of The Night,2022-04-09,30,26,11,https://charts-static.billboard.com/img/2016/12/elley-duhe-w03-106x106.jpg
27,CKay,Love Nwantiti (Ah Ah Ah),2022-04-09,26,2,29,https://charts-static.billboard.com/img/2021/03/ckay-eoq-180x180.jpg
28,Olivia Rodrigo,Good 4 U,2022-04-09,31,1,46,https://charts-static.billboard.com/img/2021/05/olivia-rodrigo-3wl-good-4-u-ysx-180x180.jpg
29,Yahritza y Su Esencia,Soy El Unico,2022-04-09,-,29,1,https://charts-static.billboard.com/img/2022/04/yahritza-y-su-esencia-thu-soy-el-unico-rck-180x180.jpg
30,Dove Cameron,Boyfriend,2022-04-09,25,17,7,https://charts-static.billboard.com/img/2022/02/dove-cameron-kdk-boyfriend-sko-180x180.jpg
31,Kodak Black,Super Gremlin,2022-04-09,28,16,18,https://charts-static.billboard.com/img/2016/06/kodak-black-3si-180x180.jpg
32,Jaymes Young,Infinity,2022-04-09,29,23,18,https://charts-static.billboard.com/img/2014/04/jaymes-young-ctm-106x106.jpg
33,Coldplay x BTS,My Universe,2022-04-09,34,1,27,https://charts-static.billboard.com/img/2021/10/coldplay-bm3-my-universe-68v-180x180.jpg
34,Cris Mj,Una Noche En Medellin,2022-04-09,39,34,4,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
35,Charlie Puth,Light Switch,2022-04-09,35,21,10,https://charts-static.billboard.com/img/2022/02/charlie-puth-9ci-lightswitch-5xj-180x180.jpg
36,Red Velvet,Feel My Rhythm,2022-04-09,61,36,2,https://charts-static.billboard.com/img/2014/08/red-velvet-ais-180x180.jpg
37,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,2022-04-09,47,37,2,https://charts-static.billboard.com/img/2022/03/4*town-from-disney-and-pixars-turning-red-000-nobody-like-u-ew6-180x180.jpg
38,Megan Thee Stallion & Dua Lipa,Sweetest Pie,2022-04-09,24,12,3,https://charts-static.billboard.com/img/2022/03/megan-thee-stallion-dkc-sweetest-pie-jwh-180x180.jpg
39,Billie Eilish,Happier Than Ever,2022-04-09,41,6,35,https://charts-static.billboard.com/img/2021/08/billie-eilish-lrt-happier-than-ever-xd9-180x180.jpg
40,Tom Odell,Another Love,2022-04-09,37,37,48,https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg
41,Acraze Featuring Cherish,Do It To It,2022-04-09,32,15,22,https://charts-static.billboard.com/img/2021/09/acraze-0p0-doittoit-46a-180x180.jpg
42,Doja Cat Featuring SZA,Kiss Me More,2022-04-09,40,3,51,https://charts-static.billboard.com/img/2021/04/doja-cat-lm6-kiss-me-more-3fc-180x180.jpg
43,Latto,Big Energy,2022-04-09,144,43,6,https://charts-static.billboard.com/img/2021/10/latto-80q-big-energy-hu4-180x180.jpg
44,BTS,Butter,2022-04-09,36,1,45,https://charts-static.billboard.com/img/2021/06/bts-hm9-butter-45t-180x180.jpg
45,Ed Sheeran,Perfect,2022-04-09,43,30,82,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
46,Fireboy DML & Ed Sheeran,Peru,2022-04-09,42,34,14,https://charts-static.billboard.com/img/2021/12/fireboydml-bvr-peru-4ml-180x180.jpg
47,Doja Cat,Need To Know,2022-04-09,46,6,42,https://charts-static.billboard.com/img/2021/06/doja-cat-lm6-need-to-know-9r2-180x180.jpg
48,Imagine Dragons,Bones,2022-04-09,45,45,3,https://charts-static.billboard.com/img/2022/03/imagine-dragons-ud7-bones-8cg-180x180.jpg
49,Jessica Darrow,Surface Pressure,2022-04-09,38,9,14,https://charts-static.billboard.com/img/2022/01/jessica-darrow-000-surface-pressure-2bs-180x180.jpg
50,Tate McRae,She's All I Wanna Be,2022-04-09,57,31,8,https://charts-static.billboard.com/img/2022/02/tatemcrae-rxu-shesalliwannabe-5fc-180x180.jpg
51,Ruth B.,Dandelions,2022-04-09,54,51,11,https://charts-static.billboard.com/img/2015/12/ruth-b-6pm-106x106.jpg
52,J Balvin & Ed Sheeran,Sigue,2022-04-09,-,52,1,https://charts-static.billboard.com/img/2022/04/j-balvin-i5b-sigue-qmc-180x180.jpg
53,Nirvana,Something In The Way,2022-04-09,33,23,4,https://charts-static.billboard.com/img/1840/12/nirvana-3xd-91x91.jpg
54,"MC Frog, Davi Kneip E DJ Gabriel Do Borel",Sentadona (Ai Calica),2022-04-09,59,54,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
55,Em Beihold,Numb Little Bug,2022-04-09,51,40,9,https://charts-static.billboard.com/img/2022/02/em-beihold-ikj-numb-little-bug-vhu-180x180.jpg
56,"Tainy, Bad Bunny & Julieta Venegas",Lo Siento BB:/,2022-04-09,49,12,26,https://charts-static.billboard.com/img/2021/10/tainy-otf-lo-siento-bb--vsg-180x180.jpg
57,Bad Bunny,Yonaguni,2022-04-09,50,3,43,https://charts-static.billboard.com/img/2021/06/bad-bunny-c3m-yonaguni-zqi-180x180.jpg
58,Demi Lovato,Cool For The Summer,2022-04-09,93,58,2,https://charts-static.billboard.com/img/2015/07/demi-lovato-3qc-coolforthesummer-sfg-180x180.jpg
59,BTS,Dynamite,2022-04-09,52,1,82,https://charts-static.billboard.com/img/2020/09/bts-hm9-dynamite-zg6-180x180.jpg
60,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2022-04-09,53,41,82,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
61,Lil Durk Featuring Gunna,What Happened To Virgil,2022-04-09,44,35,3,https://charts-static.billboard.com/img/2013/06/lil-durk-hvd-180x180.jpg
62,The Neighbourhood,Sweater Weather,2022-04-09,55,52,79,https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg
63,Summer Walker & SZA,No Love,2022-04-09,-,17,6,https://charts-static.billboard.com/img/2018/09/summer-walker-twd-180x180.jpg
64,JNR CHOI & Sam Tompkins,To The Moon!,2022-04-09,87,64,12,https://charts-static.billboard.com/img/2022/01/jnr-choi-kjj-to-the-moon-9kv-180x180.jpg
65,Imagine Dragons,Believer,2022-04-09,63,52,82,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
66,AnnenMayKantereit & Giant Rooks,Tom's Diner,2022-04-09,73,66,3,https://charts-static.billboard.com/img/2022/03/annenmaykantereit-nhg-toms-diner-rm3-180x180.jpg
67,Dave,Starlight,2022-04-09,60,58,4,https://charts-static.billboard.com/img/2016/11/dave-rjd-180x180.jpg
68,Ed Sheeran,Shape Of You,2022-04-09,64,55,82,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
69,Machine Gun Kelly & Bring Me The Horizon,Maybe,2022-04-09,83,69,2,https://charts-static.billboard.com/img/2011/11/machine-gun-kelly-ubc-180x180.jpg
70,Machine Gun Kelly X blackbear,Make Up Sex,2022-04-09,-,70,1,https://charts-static.billboard.com/img/2011/11/machine-gun-kelly-ubc-180x180.jpg
71,(G)I-DLE,Tomboy,2022-04-09,58,58,2,https://charts-static.billboard.com/img/2018/05/gidle-01q-180x180.jpg
72,Sebastian Yatra,Tacones Rojos,2022-04-09,92,72,17,https://charts-static.billboard.com/img/2021/11/sebastian-yatra-q66-tacones-rojos-dd8-180x180.jpg
73,Tate McRae,Chaotic,2022-04-09,-,73,1,https://charts-static.billboard.com/img/2022/04/tatemcrae-rxu-chaotic-kfo-180x180.jpg
74,Olivia Rodrigo,Traitor,2022-04-09,78,7,45,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
75,Sebastian Yatra,Dos Oruguitas,2022-04-09,91,26,13,https://charts-static.billboard.com/img/2015/10/sebastian-yatra-q66-180x180.jpg
76,Eminem,Without Me,2022-04-09,62,39,25,https://charts-static.billboard.com/img/2013/07/eminem-1xq-180x180.jpg
77,Lauren Spencer-Smith,Fingers Crossed,2022-04-09,65,13,13,https://charts-static.billboard.com/img/2022/01/lauren-spencersmith-000-fingers-crossed-y2s-180x180.jpg
78,Tones And I,Dance Monkey,2022-04-09,74,16,82,https://charts-static.billboard.com/img/2019/08/tones-and-i-e1q-dance-monkey-pbf-180x180.jpg
79,Gunna & Future Featuring Young Thug,Pushin P,2022-04-09,48,10,12,https://charts-static.billboard.com/img/2016/09/gunna-czg-180x180.jpg
80,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,2022-04-09,71,1,54,https://charts-static.billboard.com/img/2021/04/justin-bieber-f8k-peaches-sl5-180x180.jpg
81,Bad Bunny & Jhay Cortez,Dakiti,2022-04-09,70,1,74,https://charts-static.billboard.com/img/2020/11/bad-bunny-c3m-dakiti-wxy-180x180.jpg
82,Daddy Yankee,Rumbaton,2022-04-09,-,82,1,https://charts-static.billboard.com/img/2002/07/daddy-yankee-73c-180x180.jpg
83,Lil Nas X,Montero (Call Me By Your Name),2022-04-09,68,1,53,https://charts-static.billboard.com/img/2021/04/lil-nas-x-qv4-montero-call-me-by-your-name-2lw-180x180.jpg
84,Olivia Rodrigo,Drivers License,2022-04-09,97,1,64,https://charts-static.billboard.com/img/2021/01/olivia-rodrigo-3wl-drivers-license-w08-180x180.jpg
85,Pinkfong,Baby Shark,2022-04-09,76,38,81,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
86,Lewis Capaldi,Someone You Loved,2022-04-09,82,24,82,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
87,Dr. Dre Featuring Snoop Dogg,Still D.R.E.,2022-04-09,69,16,8,https://charts-static.billboard.com/img/2022/02/dr-dre-gbs-still-dre-2oa-180x180.jpg
88,Kevin Gates Featuring Juicy J,Thinking With My Dick,2022-04-09,56,49,3,https://charts-static.billboard.com/img/2022/03/kevin-gates-wsl-thinking-with-my-dick-03t-180x180.jpg
89,Harry Styles,Watermelon Sugar,2022-04-09,94,9,82,https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-w6n-180x180.jpg
90,Shouse,Love Tonight,2022-04-09,86,20,40,https://charts-static.billboard.com/img/2021/06/shouse-hek-love-tonight-4iu-180x180.jpg
91,Stray Kids,Maniac,2022-04-09,21,21,2,https://charts-static.billboard.com/img/2017/11/straykids-0y0-180x180.jpg
92,Eden Munoz,Chale!,2022-04-09,67,67,4,https://charts-static.billboard.com/img/2022/03/eden-munoz-000-chale-5v8-180x180.jpg
93,The Walters,I Love You So,2022-04-09,85,55,24,https://charts-static.billboard.com/img/2021/10/the-walters-htq-180x180.jpg
94,Dua Lipa,Don't Start Now,2022-04-09,90,30,82,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
95,Adele,Oh My God,2022-04-09,80,3,19,https://charts-static.billboard.com/img/2008/02/adele-0zg-180x180.jpg
96,Frank Ocean,Lost,2022-04-09,81,43,11,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg
97,Coldplay,Yellow,2022-04-09,131,97,51,https://charts-static.billboard.com/img/2005/06/coldplay-bm3-yellow-ty6-180x180.jpg
98,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,2022-04-09,84,20,13,https://charts-static.billboard.com/img/2022/01/stephanie-beatriz-eof-the-family-madrigal-7iy-180x180.jpg
99,Maneskin,Beggin',2022-04-09,99,3,43,https://charts-static.billboard.com/img/2017/12/maneskin-ews-180x180.jpg
100,Eminem,Lose Yourself,2022-04-09,95,25,8,https://charts-static.billboard.com/img/2010/01/eminem-6zg-lose-yourself-48q-180x180.jpg
101,Drake Featuring 21 Savage & Project Pat,Knife Talk,2022-04-09,98,6,30,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
102,Danny Ocean,Fuera del Mercado,2022-04-09,-,102,1,https://charts-static.billboard.com/img/2017/05/danny-ocean-uz8-180x180.jpg
103,Ryan Castro,Jordan,2022-04-09,103,103,4,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
104,Nicki Minaj & Fivio Foreign,We Go Up,2022-04-09,-,104,1,https://charts-static.billboard.com/img/2022/04/nicki-minaj-721-wegoup-9od-180x180.jpg
105,Masked Wolf,Astronaut In The Ocean,2022-04-09,105,3,62,https://charts-static.billboard.com/img/2020/11/masked-wolf-voi-astronaut-in-the-ocean-4ou-180x180.jpg
106,Doja Cat & The Weeknd,You Right,2022-04-09,102,12,40,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
107,Nirvana,Smells Like Teen Spirit,2022-04-09,115,92,63,https://charts-static.billboard.com/img/2011/04/nirvana-ug8-smells-like-teen-spirit-is8-180x180.jpg
108,OneRepublic,Counting Stars,2022-04-09,106,106,57,https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg
109,Lucky Daye,Over,2022-04-09,197,109,2,https://charts-static.billboard.com/img/2019/01/lucky-daye-rks-180x180.jpg
110,The Chainsmokers & Coldplay,Something Just Like This,2022-04-09,129,110,65,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
111,Willow Smith,Wait A Minute!,2022-04-09,187,111,2,https://charts-static.billboard.com/img/2010/09/willow-tzw-180x180.jpg
112,Eminem,The Real Slim Shady,2022-04-09,108,59,15,https://charts-static.billboard.com/img/2012/07/eminem-6zg-the-real-slim-shady-cbz-180x180.jpg
113,Coolio Featuring L.V.,Gangsta's Paradise,2022-04-09,114,99,39,https://charts-static.billboard.com/img/2010/11/coolio-i15-gangstasparadise-nqq-180x180.jpg
114,Olivia Rodrigo,Deja Vu,2022-04-09,145,3,52,https://charts-static.billboard.com/img/2021/04/olivia-rodrigo-3wl-deja-vu-q3u-180x180.jpg
115,50 Cent,In Da Club,2022-04-09,111,44,7,https://charts-static.billboard.com/img/2022/02/50-cent-4gk-in-da-club-znh-180x180.jpg
116,Lady Gaga & Bradley Cooper,Shallow,2022-04-09,123,59,82,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
117,Rosalia Featuring The Weeknd,La Fama,2022-04-09,77,34,13,https://charts-static.billboard.com/img/2021/11/rosalia-88x-la-fama-mo3-180x180.jpg
118,24kGoldn Featuring iann dior,Mood,2022-04-09,121,2,82,https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-agm-180x180.jpg
119,Taylor Swift,All Too Well (Taylor's Version),2022-04-09,116,1,20,https://charts-static.billboard.com/img/2021/11/taylor-swift-824-alltoowelltaylorsversion-k7x-180x180.jpg
120,Sia,Unstoppable,2022-04-09,124,109,7,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
121,Post Malone & The Weeknd,One Right Now,2022-04-09,126,9,21,https://charts-static.billboard.com/img/2021/11/post-malone-8b5-onerightnow-lfm-180x180.jpg
122,Pharrell Williams,Just A Cloud Away,2022-04-09,163,122,2,https://charts-static.billboard.com/img/2022/04/pharrell-williams-vru-just-a-cloud-away-s7s-180x180.jpg
123,Foo Fighters,Everlong,2022-04-09,-,123,1,https://charts-static.billboard.com/img/2011/04/foo-fighters-a9c-everlong-gr7-180x180.jpg
124,Labrinth,Mount Everest,2022-04-09,96,63,7,https://charts-static.billboard.com/img/2010/06/labrinth-g0i-106x106.jpg
125,J. Cole,No Role Modelz,2022-04-09,139,114,41,https://charts-static.billboard.com/img/2009/12/j-cole-9on-180x180.jpg
126,"Blessd, Justin Quiles & Lenny Tavarez",Medallo,2022-04-09,101,80,18,https://charts-static.billboard.com/img/2021/11/blessd-ypv-180x180.jpg
127,Post Malone,Circles,2022-04-09,128,49,82,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
128,The Neighbourhood,Softcore,2022-04-09,110,65,12,https://charts-static.billboard.com/img/2012/12/the-neighbourhood-qw9-180x180.jpg
129,Pedro Sampaio & MC Pedrinho,Dancarina,2022-04-09,122,84,6,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
130,Queen,Bohemian Rhapsody,2022-04-09,133,97,78,https://charts-static.billboard.com/img/2005/02/queen-m21-180x180.jpg
131,Machine Gun Kelly & WILLOW,Emo Girl,2022-04-09,-,91,2,https://charts-static.billboard.com/img/2022/02/machine-gun-kelly-ubc-emo-girl-3rp-180x180.jpg
132,Zion & Lennox Featuring Daddy Yankee,Yo Voy,2022-04-09,127,119,5,https://charts-static.billboard.com/img/2004/03/zion-lennox-q3v-180x180.jpg
133,The Chainsmokers Featuring Halsey,Closer,2022-04-09,142,100,75,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
134,Lil Durk,Ahhh Ha,2022-04-09,79,33,6,https://charts-static.billboard.com/img/2013/06/lil-durk-hvd-180x180.jpg
135,Aimer,Zankyosanka,2022-04-09,104,37,17,https://charts-static.billboard.com/img/2021/12/aimer-000-zankyosanka-s5k-180x180.jpg
136,Fleetwood Mac,Dreams,2022-04-09,125,10,77,https://charts-static.billboard.com/img/2011/05/fleetwood-mac-fe3-dreams-jvb-180x180.jpg
137,Swedish House Mafia & The Weeknd,Moth To A Flame,2022-04-09,120,10,23,https://charts-static.billboard.com/img/2021/11/swedish-house-mafia-37r-moth-to-a-flame-h3w-180x180.jpg
138,Arctic Monkeys,505,2022-04-09,138,135,9,https://charts-static.billboard.com/img/2005/11/arctic-monkeys-4ey-180x180.jpg
139,Tyga X Doja Cat,Freaky Deaky,2022-04-09,109,37,5,https://charts-static.billboard.com/img/2022/03/tyga-81k-freaky-deaky-pm2-180x180.jpg
140,Billie Eilish,Bad Guy,2022-04-09,147,54,82,https://charts-static.billboard.com/img/2019/04/billie-eilish-lrt-bad-guy-vul-180x180.jpg
141,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2022-04-09,159,114,70,https://charts-static.billboard.com/img/2017/02/luis-fonsi-nni-despacito-80r-180x180.jpg
142,Hozier,Take Me To Church,2022-04-09,134,123,64,https://charts-static.billboard.com/img/2014/05/hozier-yyf-takemetochurch-5cv-180x180.jpg
143,"Alejo, Feid & ROBI",Pantysito,2022-04-09,157,143,2,https://charts-static.billboard.com/img/2016/10/feid-ug7-180x180.jpg
144,Billie Eilish & Khalid,Lovely,2022-04-09,135,70,82,https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg
145,Daft Punk Featuring Pharrell Williams,Get Lucky,2022-04-09,149,137,5,https://charts-static.billboard.com/img/2013/05/daft-punk-j22-get-lucky-0hp-180x180.jpg
146,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,2022-04-09,140,21,30,https://charts-static.billboard.com/img/2021/06/the-anxiety-willow-and-tyler-cole-sf1-180x180.jpg
147,Daddy Yankee,Remix,2022-04-09,-,147,1,https://charts-static.billboard.com/img/2002/07/daddy-yankee-73c-180x180.jpg
148,Russ Featuring Ktlyn,Handsomer,2022-04-09,113,57,4,https://charts-static.billboard.com/img/2022/03/russ-8dy-handsomer-9xb-180x180.jpg
149,Lil Durk Featuring Morgan Wallen,Broadway Girls,2022-04-09,118,32,15,https://charts-static.billboard.com/img/2022/01/lil-durk-hvd-broadway-girls-yl8-180x180.jpg
150,Vance Joy,Riptide,2022-04-09,143,143,37,https://charts-static.billboard.com/img/2013/08/vance-joy-578-180x180.jpg
151,Bad Bunny X Daddy Yankee,La Santa,2022-04-09,161,151,7,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
152,Rauw Alejandro,Todo de Ti,2022-04-09,146,3,45,https://charts-static.billboard.com/img/2021/06/rauwalejandro-37g-tododeti-5i7-180x180.jpg
153,Aventura x Bad Bunny,Volvi,2022-04-09,136,11,35,https://charts-static.billboard.com/img/2021/08/aventura-mvs-volvi-1pk-180x180.jpg
154,UZI,Arasan Da,2022-04-09,107,107,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
155,Machine Gun Kelly & Lil Wayne,Ay!,2022-04-09,-,92,2,https://charts-static.billboard.com/img/2022/03/machine-gun-kelly-ubc-ay-x4g-180x180.jpg
156,Jack Harlow,Nail Tech,2022-04-09,119,23,6,https://charts-static.billboard.com/img/2022/03/jack-harlow-i43-nail-tech-fg1-180x180.jpg
157,NMIXX,O.O,2022-04-09,148,138,4,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
158,Bruno Mars,Locked Out Of Heaven,2022-04-09,160,116,13,https://charts-static.billboard.com/img/2012/10/bruno-mars-va7-180x180.jpg
159,J Balvin & Bad Bunny,La Cancion,2022-04-09,175,155,9,https://charts-static.billboard.com/img/2010/07/j-balvin-i5b-180x180.jpg
160,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,2022-04-09,169,2,56,https://charts-static.billboard.com/img/2021/03/silk-sonic-bruno-mars-and-anderson-paak-qd5-leave-the-door-open-ife-180x180.jpg
161,Doja Cat,Get Into It (Yuh),2022-04-09,152,41,34,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
162,Eagles,Hotel California,2022-04-09,167,144,66,https://charts-static.billboard.com/img/1972/06/eagles-ma9-180x180.jpg
163,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?,2022-04-09,141,34,13,https://charts-static.billboard.com/img/2022/01/diane-guerrero-000-what-else-can-i-do-7kr-180x180.jpg
164,Muni Long,Hrs And Hrs,2022-04-09,130,33,13,https://charts-static.billboard.com/img/2009/10/munilong-baj-180x180.jpg
165,Christian Nodal,Ya No Somos Ni Seremos,2022-04-09,137,36,6,https://charts-static.billboard.com/img/2022/03/christian-nodal-muq-ya-no-somos-ni-seremos-uh6-180x180.jpg
166,The Killers,Mr. Brightside,2022-04-09,162,115,40,https://charts-static.billboard.com/img/2004/12/the-killers-7vb-mrbrightside-7k3-180x180.jpg
167,BTS,Permission To Dance,2022-04-09,155,1,38,https://charts-static.billboard.com/img/2021/07/bts-hm9-permission-to-dance-17f-180x180.jpg
168,Luude Featuring Colin Hay,Down Under,2022-04-09,154,105,10,https://charts-static.billboard.com/img/2022/01/luude-zix-180x180.jpg
169,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2022-04-09,170,70,74,https://charts-static.billboard.com/img/2019/01/lil-nas-x-qv4-180x180.jpg
170,The Weeknd,Sacrifice,2022-04-09,132,2,12,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
171,zzoilo,Mon Amour,2022-04-09,151,73,21,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
172,Shawn Mendes,There's Nothing Holdin' Me Back,2022-04-09,178,160,11,https://charts-static.billboard.com/img/2014/07/shawn-mendes-pz2-180x180.jpg
173,BoyWithUke,Toxic,2022-04-09,164,60,22,https://charts-static.billboard.com/img/2021/11/boywithuke-ryx-toxic-6fs-180x180.jpg
174,"Quevedo, El Ima, Cruz Cafune, Bejo, La Pantera, Juseph & Abhir Hathi",Cayo La Noche,2022-04-09,158,145,6,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
175,BoyWithUke X blackbear,IDGAF,2022-04-09,117,117,2,https://charts-static.billboard.com/img/2021/10/boywithuke-ryx-180x180.jpg
176,Labrinth & Zendaya,I'm Tired,2022-04-09,100,29,5,https://charts-static.billboard.com/img/2022/03/labrinth-o8m-im-tired-by4-180x180.jpg
177,The Weeknd Featuring Daft Punk,Starboy,2022-04-09,177,52,41,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
178,Avicii,Wake Me Up!,2022-04-09,190,154,23,https://charts-static.billboard.com/img/2010/07/avicii-uw1-180x180.jpg
179,Rosalia,Saoko,2022-04-09,112,101,3,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
180,Guns N' Roses,Sweet Child O' Mine,2022-04-09,180,154,51,https://charts-static.billboard.com/img/2010/07/guns-n-roses-tp2-sweet-child-o-mine-jcn-180x180.jpg
181,Cody Johnson,'Til You Can't,2022-04-09,174,156,7,https://charts-static.billboard.com/img/2021/06/cody-johnson-qut-tilyoucant-jyb-180x180.jpg
182,King Gnu,Chameleon,2022-04-09,150,63,5,https://charts-static.billboard.com/img/2018/08/king-gnu-on9-180x180.jpg
183,Ryan Castro,Mujeriego,2022-04-09,173,125,9,https://charts-static.billboard.com/img/2022/01/ryan-castro-000-mujeriego-gv4-180x180.jpg
184,Doja Cat,Streets,2022-04-09,172,8,62,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
185,NEIKED X Mae Muller X Polo G,Better Days,2022-04-09,153,33,24,https://charts-static.billboard.com/img/2016/11/neiked-180x180.jpg
186,"Tiago pzk, LIT killa, Nicki Nicole & Maria Becerra",Entre Nosotros,2022-04-09,165,41,26,https://charts-static.billboard.com/img/2021/07/tiago-pzk-000-entre-nosotros-sjy-180x180.jpg
187,Jax Jones Featuring MNEK,Where Did You Go?,2022-04-09,-,187,1,https://charts-static.billboard.com/img/2022/02/jax-jones-wob-where-did-you-go-8co-180x180.jpg
188,Imagine Dragons,Thunder,2022-04-09,184,174,21,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
189,Ed Sheeran,Thinking Out Loud,2022-04-09,183,103,68,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
190,AC/DC,Thunderstruck,2022-04-09,185,167,44,https://charts-static.billboard.com/img/2012/12/ac-dc-3eb-180x180.jpg
191,Journey,Don't Stop Believin',2022-04-09,166,125,69,https://charts-static.billboard.com/img/2005/08/journey-0b3-dontstopbelievin-mvt-180x180.jpg
192,Jordan Davis Featuring Luke Bryan,Buy Dirt,2022-04-09,188,117,22,https://charts-static.billboard.com/img/2021/06/jordan-davis-8bp-buy-dirt-geo-180x180.jpg
193,John Legend,All Of Me,2022-04-09,191,97,76,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg
194,Lisa,Money,2022-04-09,179,10,29,https://charts-static.billboard.com/img/2021/09/lisa-000-money-ex1-180x180.jpg
195,Rosalia,Candy,2022-04-09,75,75,2,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
196,SZA,I Hate U,2022-04-09,171,11,17,https://charts-static.billboard.com/img/2021/12/sza-mhq-i-hate-u-e84-180x180.jpg
197,"Xama, Gustah & Neo Beats",Malvadao 3,2022-04-09,176,47,14,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
198,a-ha,Take On Me,2022-04-09,199,139,33,https://charts-static.billboard.com/img/2013/10/a-ha-zrv-takeonme-c5b-180x180.jpg
199,Walker Hayes,Fancy Like,2022-04-09,181,25,41,https://charts-static.billboard.com/img/2021/06/walker-hayes-kxn-fancy-like-m9f-180x180.jpg
200,James Arthur,Say You Won't Let Go,2022-04-09,196,96,72,https://charts-static.billboard.com/img/2016/11/james-arthur-p5t-106x106.jpg
1,Glass Animals,Heat Waves,2022-04-02,1,1,64,https://charts-static.billboard.com/img/2020/07/glass-animals-rtd-heat-waves-1lv-180x180.jpg
2,GAYLE,abcdefu,2022-04-02,2,1,19,https://charts-static.billboard.com/img/2021/11/gayle-hce-abcdefu-y97-180x180.jpg
